mf,ppm,unsat
C13H11F7N3O6P2,-2.8981,7.5
C18H13KN4O9S,2.9013999999999998,14.0
C26H8F2NO6S,2.9188,22.5
C16H20F3KO6S3,-2.9245,5.0
C10H17F8KNO6P2,2.926,-0.5
C16H14F8O3P2S,-2.9312,7.0
C21H22KN2PS4,2.942,12.0
C8H19F6KN3O6P2S,-2.9486999999999997,-1.5
C23H5FN4O9,2.9519,23.0
C24H10N3O6S2,-2.9558999999999997,21.5
C15H7F14OP,-2.9667,6.0
C27H7F2KN2O4,-2.9703000000000004,24.0
C11H22F7KO3P2S2,-2.9818,-2.0
C15H15F4KNO9S,2.9833,6.5
C27H13FO3S3,-2.989,21.0
C26H14FN2PS3,2.9926,21.0
C26H8F2KN4OP,3.0113,24.0
C19H12F4N3O3P2S,-3.0131,14.5
C14H14F9KN2OS2,3.0216,4.0
C20H7F5NO9,3.0339,15.5
C38N2O,-3.0347,40.0
C11H17F7N3O3S4,3.036,1.5
C22H21KO3S4,-3.0396,12.0
C22H15F5P2S2,-3.0462000000000002,14.0
C18H5F10N3OP,-3.0486,13.5
C11H23FN4O5P2S4,-3.0493,3.0
C15H21F3KN2O3PS3,3.0570999999999997,5.0
C14H20F3KN3O3P2S2,-3.0637,5.5
C19H6F10N2OS,3.0722,13.0
C10H16F7N4O3PS3,-3.0848,2.0
C23H10F6KNOP,3.0932,16.5
C17H23F4KP2S3,-3.0968,5.0
C13H13F9KN3OPS,-3.0991999999999997,4.5
C20H13F4N2O3PS2,3.1076,14.0
C13H19F8NPS4,-3.1178999999999997,1.5
C9H9F13N4OS2,-3.1201999999999996,1.0
C25H13FN3P2S2,-3.1281000000000003,21.5
C24H17KNO3P2S,3.1287,17.5
C14H14F4KN2O9P,-3.1375,7.0
C14H20F3O8PS3,-3.1562,4.0
C10H10F8N3O9S,-3.1585,3.5
C9H20F6KN2O6PS2,3.1721,-2.0
C20H21KN3P2S3,-3.1787,12.5
C29H9FNO3P2,3.1793,26.5
C13H5F13N2O4,3.1872000000000003,6.0
C13H13F9O6S2,-3.1916,3.0
C16H17F4N4PS4,-3.1997999999999998,9.0
C25H7F2N2O6P,-3.2019,23.0
C10H27KN2O8P2S3,3.2075,-1.0
C14H12F7N2O6PS,3.2226,7.0
C18H16F3KNO6P2,3.2437,10.5
C20H15FKN2O6PS,-3.2525000000000004,14.0
C15H19FN2O8P2S2,3.2581,8.0
C20H21O5PS4,-3.2712000000000003,11.0
C16H11F5N3O6S2,-3.2735000000000003,10.5
C19H8F7KN2O4,-3.2880000000000003,13.0
C14H18F6N3P2S3,3.2963999999999998,5.5
C19H14F6O3S3,-3.3066,10.0
C11H19F4KN3O6S3,-3.3241,1.5
C11H13F9N3O3P2S,-3.3308,3.5
C8H11F10N2O9P,3.3377,0.0
C22H13F4KN2OS2,3.3393,15.0
C28H6NO9,3.3515,26.5
C30HF5N2O,-3.3524,29.0
C19H16F2N3O3S4,3.3537000000000003,12.5
C14H22F5KO3S4,-3.3571999999999997,1.0
C14H16F10P2S2,-3.3639,3.0
C10H6F15N3OP,-3.3663,2.5
C11H20F10P2S3,3.3783,-2.0
C22H12F2N3O3S3,-3.3886,17.5
C27H5F5N2OS,3.3898,24.0
C11H14F11KN2OP2,3.397,1.0
C25H9F4KN2OS,-3.403,20.0
C31H9FKNOP,3.4109,27.5
C8H17F9N3O3P2S2,3.4114,-1.5
C25H15F3S4,-3.4217000000000004,17.0
C16H18F6O3S4,3.4356,5.0
C17H20FKN3O3S4,-3.4391,8.5
C17H14F6N3P2S2,-3.4458,10.5
C16H12F7KN2O4S,3.4543,8.0
C13H15F5N3O6S3,3.4687,5.5
C18H15FN2O8P2S,-3.4840999999999998,13.0
C17H19FKN2O6PS2,3.4897,9.0
C12H22F5KN3P2S3,-3.4964,1.5
C21H4F8N2O4,3.5048,17.0
C8H18F9N4PS4,-3.5174,-2.0
C17H8F7N2O6P,-3.5196,12.0
C13H23KN2O8P2S2,-3.5347,4.0
C22H11F2N2O6PS,3.5403,18.0
C10H17F9O6S3,3.5505999999999998,-2.0
C9H19F4N3O8PS3,-3.5557000000000003,0.5
C17H25KN3P2S4,3.5635,7.5
C10H11F10KN2O7,3.5692999999999997,1.0
C12H16F6KN2O6PS,-3.5702000000000003,3.0
C7H14F8N3O9S2,3.5837,-1.5
C11H24F3O8PS4,3.5861,-1.0
C12H22F5O5PS4,-3.5888,0.0
C8H12F10N3O6S2,-3.5912,-0.5
C11H18F4KN2O9PS,3.6047,2.0
C11H9F12KN2O4,-3.6056,2.0
C27H13KNO3P2,-3.6134999999999997,22.5
C22H17FN3P2S3,3.6140999999999996,16.5
C11H15F11O3S3,-3.6243000000000003,-1.0
C23H9F4N2O3PS,-3.6346,19.0
C10H17F9KN3OPS2,3.6430000000000002,-0.5
C14H27F4KP2S4,3.6454,0.0
C16H10F5N2O9P,3.6553,11.0
C22H2F10N2O,-3.6700999999999997,18.0
C15H20FN3O5PS4,-3.6708000000000003,7.5
C11H24F3KN3O3P2S3,3.6785,0.5
C18H17F3KN2O3PS2,-3.6852,10.0
C15H9F10N3OPS,3.6936,8.5
C19H19F5P2S3,3.6959999999999997,9.0
C14H13F7N3O3S3,-3.7062000000000004,6.5
C35H4N2OS,3.7075,35.0
C19H13F6KN2OP2,3.7147,12.0
C17H10F9KN2OS,-3.7206,9.0
C16H16F4N3O3P2S2,3.7291,9.5
